First Name,Last Name,Designation,Company,Country
Ruslan,Idrissov,Minister,Ministry of Science and Higher Education of the Republic of Kazakhstan,Kazakhstan
Asset,Issekeshov,President,Eurasian Economic Club of Scientists,Kazakhstan
Diyar,Kanashev,CEP,Altynalmas JSC,Kazakhstan
Kairat,Karmanov,Vice Minister,Trade and Integration of the Republic of Kazakhstan,Kazakhstan
Murat,Karmisakov,President,"Eurasian Economic Club of Scientists"" Association",Kazakhstan
Nurlan,Khusseinov,CEO,Air Kazakhstan,Kazakhstan
Vladimir,Kim,Chairman,Kazakhmys,Kazakhstan
Dinara,Kulibaeva,Owner,Halyk Bank,Kazakhstan
Timur,Kulibayev,Owner,Halyk Bank,Kazakhstan
Askar,Mametov,CFO,Tavia Acquisition Corp.,Kazakhstan
Zhakyp,Marabayev,Founder,Karazhal Operating,Kazakhstan
Nuriya,Marabayev,President and CEO,Kazakhstan Nursultan Nazarbayev,Kazakhstan
Serik,Nugerbekov,Honorary Consul of France,Republic of Kazakstan,Kazakhstan
Sayasat,Nurbek,Deputy Chairman of Coordination Board,"Eurasian Economic Club of Scientists"" Association",Kazakhstan
Erlan,Ospanov,CEO,Verny Capital,Kazakhstan
Kenges,Rakishev,Board of Directors,ERZ.KZ,
Davron Munavarovich,Rustamkulov,Managing Director,"Central Asia Partnerships, LLP",Kazakhstan
Erlan,Sagadiev,Former Minister,Ministry fo Education,Kazakhstan
Islambek,Salzhanov,Chairman,YPO Kazakhstan,Kazakhstan
Asel,Salzhanov,VP-GR,Advantage Kazakhstan Ltd,Kazakhstan
Nurzhan,Shakirov,President and CEO,Air Astana,Kazakhstan
Kairat,Torebayev,Board Member,Astana International Exchange - AIX,Kazakhstan
Timur,Turlov,CEO,Freedom Holding,Kazakhstan
Arman,Turlubek,Chair of the Committee,Republic of Kazakhstan,Kazakhstan
Akkenzhe,Ubaidulla,Founder,KIONI STUDIO,Kazakhstan
Bulat,Utemuratov,Chairman,"Verny Capital, ATFBank Joint Stock Company",Kazakhstan
Zhumabek,Zhanykulov,Private Investor,Dobrov & Family Group.,Kazakhstan
Abdulla,Abdadirov,First Deputy General Director,Agency for Strategic Reforms under the President of the Republic of Uzbekistan,Uzbekistan
Ibrokhim,Abdurakhmonov,Founder,Center for Genomics and Bioinformatics of Uzbekistan.,Uzbekistan
Ilkhom,Azizov,Senior Partner,Azizov & Partners Firm of Advocates,Uzbekistan
Olim,Chodiev,CEO / head,Support Level,
Otabek,Djalilov,CEO,Avrud Ltd,Uzbekistan
Dinara,Dultaeva,Founder and CEO,Dinara&Co.,Uzbekistan
Bakhtiyor,Fazilov,Chairman,Eriell Group and Enter Engineering,
Adkham Ilhamovich,Ikramov,Former Minister of Youth Policy and Sports,Republic of Uzbekistan,Uzbekistan
Hadi,Kalo,Chief Executive Officer,Kalo Holdings,Uzbekistan
Kodir,Norov,Co-founder and CEO,Stolik,Uzbekistan
Alisher,Usmanov,Founder,Metalloinvest,Uzbekistan
Faisal,Abdullah,CEO,Nasihat Niaga,Malaysia
Syed Mokhtar,AlBukhary,Controlling shareholder (via private vehicles),MMC Corporation Berhad / DRB-HICOM,Malaysia
Fadzarudin and Vivy Yusof,Anuar,Co-Founder,FashionValet Group,Malaysia
Lim Wee,Chai,Founder & Executive Chairman,Top Glove Corporation Berhad,Malaysia
Quek Leng,Chan,Executive Chairman,Hong Leong Company (Malaysia),Malaysia
Jeffrey,Cheah,Founder & Chairman,Sunway Group,Malaysia
Lee Yeow,Chor,CEO ,IOI Corporation Berhad,Malaysia
Tony,Fernandes,Founder,Tune Air Sdn. Bhd.,Malaysia
Lim Chai,Hock,"Chief Operating Officer & Director (co‑founder, Bayan Group)",Bayan Resources (Indonesia),Malaysia
Cheah Cheng,Hye,"Honorary Chairman; Non‑Executive Director (since Jan 2, 2025)",Value Partners Group,Malaysia
Koon Poh,Keong,Group Chief Executive Officer,Press Metal Aluminium Holdings Berhad,Malaysia
Lau Cho,Kun,Controlling shareholder (via Gek Poh Holdings & Lei Shing Hong),Hap Seng Consolidated Berhad,Malaysia
Robert,Kuok,Founder,Kuok Group,Malaysia
William Teh,Lee Pang,Major shareholder (via estate/Consolidated Teh),Public Bank Berhad,Malaysia
Lillyn Teh,Li Hua,Major shareholder (via estate/Consolidated Teh),Public Bank Berhad,Malaysia
Lillian Teh,Li Ming,Major shareholder (via estate/Consolidated Teh),Public Bank Berhad,Malaysia
Diona Teh,Li Shian,Director & representative of family shareholding,Consolidated Teh Holdings (Public Bank family vehicle),Malaysia
B K,Modi,Chairman,Smart Group,Malaysia
